[2025-05-12 21:31:50] PID 1 | 12.19 MB | python run_strategies.py
[2025-05-12 21:31:50] PID 7 | 11.48 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:31:50] PID 8 | 15.28 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:31:50] PID 9 | 15.89 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:31:50] PID 10 | 10.05 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:31:50] PID 11 | 15.89 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:31:50] PID 12 | 9.00 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:31:50] PID 13 | 8.70 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:31:50] PID 14 | 7.81 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:31:50] PID 15 | 8.53 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:32:50] PID 1 | 12.63 MB | python run_strategies.py
[2025-05-12 21:32:50] PID 7 | 11.48 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:32:50] PID 8 | 140.57 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:32:50] PID 9 | 159.57 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:32:50] PID 10 | 149.49 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:32:51] PID 11 | 138.45 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:32:51] PID 12 | 141.34 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:32:51] PID 13 | 145.13 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:32:51] PID 14 | 143.50 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
