RSI5,RSI30,CCI,GRID_SIZE,GRID_DISTANCE,PROFIT_TARGET,OFFSET,Trades,ProfitNet,ActualCash
50,50,-50,15,0.08,0.006,0.0001,1,-26.1595,9973.84
40,50,-150,15,0.08,0.002,0.0001,6,-0.8458,9999.15
40,40,-50,20,0.08,0.002,0.0001,6,13.712,10013.71
50,60,-50,15,0.08,0.002,0.001,1,-28.5398,9971.46
45,40,-100,20,0.08,0.008,0.0001,4,1.1517,10001.15
40,60,50,20,0.08,0.002,0.001,4,-19.8063,9980.19
40,60,-100,20,0.08,0.004,0.0005,1,-19.5903,9980.41
40,50,50,10,0.08,0.004,0.0001,2,-32.3736,9967.63
50,60,-100,20,0.08,0.008,0.0001,1,-21.8356,9978.16
40,45,100,30,0.08,0.008,0.001,1,-20.8711,9979.13
50,55,-150,15,0.08,0.008,0.001,1,-25.5825,9974.42
50,60,-50,10,0.08,0.006,0.0005,1,-43.2885,9956.71
50,40,0,20,0.08,0.004,0.0001,5,15.4984,10015.5
40,45,0,30,0.08,0.004,0.0005,4,-0.5006,9999.5
50,45,-50,25,0.08,0.002,0.0005,8,5.17,10005.17
45,55,-150,25,0.08,0.002,0.0001,6,-0.8648,9999.14
40,40,0,15,0.08,0.006,0.001,4,24.7267,10024.73
40,40,0,10,0.08,0.004,0.0005,5,31.8488,10031.85
40,45,50,25,0.08,0.008,0.001,1,-25.0453,9974.95
40,60,-150,30,0.08,0.004,0.0001,1,-12.7899,9987.21
40,60,-50,25,0.08,0.008,0.0001,1,-15.826,9984.17
45,60,50,30,0.08,0.008,0.001,3,-18.6977,9981.3
50,45,50,10,0.08,0.008,0.001,1,-62.6133,9937.39
40,40,-50,25,0.08,0.002,0.0005,6,11.2839,10011.28
50,40,100,25,0.08,0.002,0.0005,6,11.8877,10011.89
40,55,100,10,0.08,0.006,0.001,3,-27.1909,9972.81
50,55,100,25,0.08,0.008,0.0001,4,-26.7227,9973.28
50,50,0,25,0.08,0.006,0.0005,1,-15.5419,9984.46
50,55,0,25,0.08,0.008,0.0001,1,-37.0769,9962.92
50,40,0,20,0.08,0.002,0.0001,6,14.057,10014.06
45,55,-150,15,0.08,0.004,0.0005,1,-25.9032,9974.1
40,60,-100,10,0.08,0.004,0.001,1,-38.6997,9961.3
45,55,50,15,0.08,0.006,0.0005,5,-12.377,9987.62
50,45,-50,20,0.08,0.004,0.0001,4,-1.5507,9998.45
45,40,-100,30,0.08,0.008,0.0005,4,1.7019,10001.7
40,40,-200,30,0.08,0.004,0.001,4,7.5887,10007.59
50,60,50,25,0.08,0.002,0.0001,7,-11.6344,9988.37
40,55,-200,25,0.08,0.008,0.001,4,8.0136,10008.01
50,55,0,15,0.08,0.006,0.0005,2,-24.9168,9975.08
45,55,-150,25,0.08,0.006,0.0001,1,-15.6957,9984.3
45,45,0,20,0.08,0.004,0.0001,4,-1.5507,9998.45
